Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker
No Account,24,Paid Up,New car,11560,None,< 1yr,1,None,4,3,23,Other Banks/Depts,1,More than 1,1,1,1,1
Some Balance,18,Some Problems,Home Related,4165,None,< 1yr,2,None,2,3,36,Other Banks/Depts,2,More than 1,1,2,1,1
No Account,24,Paid Up,Used car,4057,None,1-4 yrs,3,None,3,3,43,Other Banks/Depts,2,1,1,1,2,1
Some Balance,18,Some Problems,Home Related,6458,None,4-7 yrs,2,None,4,4,39,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,36,Paid Up,Home Related,1977,£100-£1000,4-7 yrs,4,None,4,4,40,Other Banks/Depts,2,1,1,1,2,1
No Account,24,Paid Up,Home Related,11328,None,< 1yr,2,Yes,3,3,29,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,60,Some Problems,Home Related,14782,< £100,4-7 yrs,3,None,4,4,60,Other Banks/Depts,3,More than 1,1,1,2,1
No Account,12,Some Problems,Home Related,626,None,< 1yr,4,None,4,1,24,Other Banks/Depts,2,1,1,1,1,1
No Account,36,Paid Up,Home Related,2302,None,< 1yr,4,None,4,3,31,Other Banks/Depts,1,1,1,1,1,1
No Account,12,Paid Up,Home Related,727,< £100,< 1yr,4,None,3,4,33,Other Banks/Depts,2,1,1,1,2,1
Some Balance,48,Paid Up,Home Related,3914,£100-£1000,< 1yr,4,None,2,1,38,Other Banks/Depts,2,1,1,1,1,1
No Account,12,Paid Up,Home Related,1534,None,< 1yr,1,None,1,1,23,Other Banks/Depts,1,1,1,1,1,1
Some Balance,15,No Problems (in this bank),Home Related,1271,£100-£1000,< 1yr,3,None,4,4,39,Other Banks/Depts,3,More than 1,1,1,2,1
No Account,12,Paid Up,Home Related,1295,None,< 1yr,3,None,1,3,25,Other Banks/Depts,1,1,1,1,1,1
No Account,12,Paid Up,Used car,951,< £100,< 1yr,4,None,4,3,27,Other Banks/Depts,1,More than 1,1,1,1,1
No Account,48,Paid Up,Home Related,3051,None,< 1yr,3,None,4,3,54,Other Banks/Depts,2,1,1,1,1,1
Some Balance,18,Paid Up,Home Related,433,None,< 1yr,3,Yes,4,1,22,Other Banks/Depts,1,1,1,1,1,1
No Account,30,No Problems (in this bank),Home Related,5234,None,< 1yr,4,None,2,3,28,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,9,Paid Up,Home Related,1366,None,< 1yr,3,None,4,2,22,Other Banks/Depts,1,1,1,1,1,1
No Account,18,Paid Up,Used car,2473,None,< 1yr,4,None,1,3,25,Other Banks/Depts,2,1,1,1,1,1
No Account,48,Paid Up,Home Related,7763,None,4-7 yrs,4,None,4,4,42,Other Banks/Depts,3,1,1,1,1,1
No Account,15,Some Problems,Home Related,1264,< £100,< 1yr,2,None,2,2,25,Other Banks/Depts,1,1,1,1,1,1
No Account,48,Paid Up,Home Related,6560,< £100,1-4 yrs,3,None,2,2,24,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Home Related,3123,None,< 1yr,4,None,1,2,27,Other Banks/Depts,2,1,1,1,1,1
No Account,36,No Problems (in this bank),New car,9629,None,1-4 yrs,4,None,4,3,24,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,18,Paid Up,Used car,1131,None,< 1yr,4,None,2,3,33,Other Banks/Depts,2,1,1,1,1,1
No Account,18,Paid Up,New car,12976,None,< 1yr,3,None,4,4,38,Other Banks/Depts,3,1,1,1,2,1
No Account,27,Paid Up,Home Related,3915,None,< 1yr,4,None,2,3,36,Other Banks/Depts,2,1,1,2,2,1
No Account,12,Paid Up,Home Related,2579,None,< 1yr,4,None,1,1,33,Other Banks/Depts,2,1,1,2,1,1
No Account,18,Paid Up,Used car,4153,None,< 1yr,2,Yes,3,3,42,Other Banks/Depts,2,1,1,1,1,1
No Account,18,Some Problems,Used car,3114,None,< 1yr,1,None,4,2,26,Other Banks/Depts,1,1,1,1,1,1
No Account,18,No Problems (in this bank),Used car,2124,None,< 1yr,4,None,4,1,24,Other Banks/Depts,1,More than 1,1,1,1,1
No Account,30,Paid Up,Used car,2406,None,1-4 yrs,4,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1
No Account,24,No Problems (in this bank),Home Related,1333,None,< 1yr,4,None,2,1,43,Other Banks/Depts,3,More than 1,1,2,1,1
No Account,12,No Problems (in this bank),Home Related,691,None,4-7 yrs,4,None,3,2,35,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,42,No Problems (in this bank),Home Related,4370,None,1-4 yrs,3,None,2,2,26,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,24,Some Problems,Used car,4110,None,4-7 yrs,3,None,4,4,23,Other Banks/Depts,1,More than 1,1,2,1,1
No Account,18,Paid Up,Used car,2462,None,< 1yr,2,None,2,3,22,Other Banks/Depts,2,1,1,1,1,1
No Account,12,Paid Up,Used car,1282,None,< 1yr,2,None,4,3,20,Other Banks/Depts,1,1,1,1,1,1
No Account,12,Some Problems,Used car,2969,None,< 1yr,4,None,3,2,25,Other Banks/Depts,1,More than 1,1,1,1,1
No Account,48,Some Problems,New car,4605,None,4-7 yrs,3,None,4,4,24,Other Banks/Depts,3,More than 1,1,2,1,1
No Account,48,No Problems (in this bank),New car,6331,None,4-7 yrs,4,None,4,4,46,Other Banks/Depts,3,More than 1,1,1,2,1
No Account,27,Some Problems,Home Related,5293,None,< 1yr,2,None,4,2,50,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,21,No Problems (in this bank),Home Related,3414,None,< 1yr,2,None,1,2,26,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,48,Paid Up,New car,10297,None,1-4 yrs,4,None,4,4,39,Other Banks/Depts,3,More than 1,1,2,2,1
No Account,48,Some Problems,Home Related,14421,None,< 1yr,2,None,2,3,25,Other Banks/Depts,2,1,1,1,2,1
No Account,18,No Problems (in this bank),Home Related,1056,None,4-7 yrs,3,Yes,3,1,30,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,12,Paid Up,Home Related,1372,None,1-4 yrs,2,None,3,3,36,Other Banks/Depts,2,1,1,1,1,1
No Account,18,No Problems (in this bank),Home Related,884,None,4-7 yrs,4,None,4,3,36,Other Banks/Depts,2,1,1,2,2,1
No Account,36,No Problems (in this bank),Home Related,8086,< £100,4-7 yrs,2,None,4,3,42,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,48,No Problems (in this bank),Home Related,10127,£100-£1000,< 1yr,2,None,2,4,44,Other Banks/Depts,3,1,1,1,1,1
No Account,36,Paid Up,Home Related,12389,£100-£1000,< 1yr,1,None,4,4,37,Other Banks/Depts,3,1,1,1,2,1
No Account,12,Paid Up,Home Related,709,None,4-7 yrs,4,None,4,1,57,Other Banks/Depts,2,1,1,1,1,1
No Account,15,Some Problems,Home Related,6850,< £100,< 1yr,1,None,2,2,34,Other Banks/Depts,2,1,1,2,2,1
Some Balance,10,Paid Up,Used car,2210,None,< 1yr,2,None,2,1,25,Other Banks/Depts,1,1,1,1,1,1
Some Balance,30,Some Problems,New car,7485,£100-£1000,< 1yr,4,None,1,1,53,Other Banks/Depts,2,1,1,1,2,1
No Account,45,No Problems (in this bank),Home Related,4746,None,< 1yr,4,None,2,2,24,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,12,No Problems (in this bank),Home Related,939,£100-£1000,1-4 yrs,4,None,2,1,28,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,48,No Problems (in this bank),New car,11590,< £100,< 1yr,2,None,4,3,24,Other Banks/Depts,1,More than 1,1,1,1,1
Some Balance,12,Some Problems,Home Related,609,None,< 1yr,4,None,1,1,26,Other Banks/Depts,2,1,1,1,1,1
No Account,18,No Problems (in this bank),Home Related,1190,None,< 1yr,2,None,4,4,55,Other Banks/Depts,3,More than 1,1,2,1,1
No Account,21,Paid Up,Home Related,2767,< £100,4-7 yrs,4,None,2,3,61,Other Banks/Depts,1,More than 1,1,1,1,1
No Account,30,Paid Up,Used car,3441,< £100,< 1yr,2,Yes,4,3,21,Other Banks/Depts,1,1,1,1,1,1
Some Balance,18,Paid Up,Home Related,6761,£100-£1000,< 1yr,2,None,4,3,68,Other Banks/Depts,1,More than 1,1,1,1,1
No Account,54,Some Problems,Home Related,15945,None,< 1yr,3,None,4,4,58,Other Banks/Depts,1,1,1,1,2,1
No Account,24,Paid Up,Used car,3234,None,< 1yr,4,None,4,1,23,Other Banks/Depts,1,1,1,1,2,1
No Account,15,Paid Up,Home Related,802,None,4-7 yrs,4,None,3,3,37,Other Banks/Depts,2,1,1,2,1,1
No Account,21,Some Problems,Home Related,1647,£100-£1000,< 1yr,4,None,2,2,40,Other Banks/Depts,2,More than 1,1,2,1,1
No Account,27,Some Problems,Home Related,8318,None,4-7 yrs,2,None,4,4,42,Other Banks/Depts,3,More than 1,1,1,2,1
No Account,6,Paid Up,Home Related,448,None,< 1yr,4,None,4,2,23,Other Banks/Depts,2,1,1,1,1,1
No Account,30,Paid Up,Home Related,11998,None,< 1yr,1,None,1,4,34,Other Banks/Depts,2,1,1,1,2,1
No Account,12,Paid Up,Used car,2762,£100-£1000,4-7 yrs,1,None,2,2,25,Other Banks/Depts,2,1,1,1,2,1
No Account,12,Paid Up,New car,3386,None,4-7 yrs,3,None,4,4,35,Other Banks/Depts,3,1,1,1,2,1
No Account,24,Paid Up,Home Related,2039,None,< 1yr,1,None,1,2,22,Other Banks/Depts,2,1,1,1,2,1
No Account,18,Paid Up,Home Related,1882,None,< 1yr,4,None,4,3,25,Other Banks/Depts,1,More than 1,1,1,1,1
No Account,48,Paid Up,Home Related,6999,None,1-4 yrs,1,Yes,1,1,34,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,18,Paid Up,Home Related,976,None,< 1yr,1,None,2,3,23,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Home Related,2718,None,< 1yr,3,None,4,2,20,Other Banks/Depts,1,1,1,1,2,1
No Account,18,Paid Up,Home Related,750,None,< 1yr,4,None,1,1,27,Other Banks/Depts,2,1,1,1,1,1
No Account,18,No Problems (in this bank),Home Related,3966,None,4-7 yrs,1,None,4,1,33,Other Banks/Depts,1,More than 1,1,1,2,1
No Account,12,Some Problems,Home Related,6199,None,< 1yr,4,None,2,2,28,Other Banks/Depts,1,More than 1,1,1,2,1
No Account,24,Paid Up,Home Related,1987,None,< 1yr,2,None,4,1,21,Other Banks/Depts,1,1,1,2,1,1
No Account,24,Paid Up,Home Related,2303,None,4-7 yrs,4,Yes,1,1,45,Other Banks/Depts,2,1,1,1,1,1
No Account,30,Paid Up,Used car,6350,£100-£1000,4-7 yrs,4,None,4,2,31,Other Banks/Depts,2,1,1,1,1,1
